,tom_agent_class,timestamp,total_wins,total_losses,win_percentage,total_ties,loss_percentage,tie_percentage,seed,total_cost,sequential_agent_class,total_time
0,hm_gpt4o,2024-08-12_20-35-40,233,22,0.7766666666666666,45.0,0.0733333333333333,0.15,,,self_transition_up,
1,hm_gpt4o,2024-08-20_18-25-53,242,29,0.8066666666666666,29.0,0.0966666666666666,0.0966666666666666,,,self_transition_down,
2,hm_gpt4o,2024-08-21_10-21-15,230,30,0.7666666666666667,40.0,0.1,0.1333333333333333,,,self_transition_down,
3,hm_gpt4o,2024-08-21_10-47-04,239,39,0.7966666666666666,22.0,0.13,0.0733333333333333,,,opponent_transition_up,
4,hm_gpt4o,2024-08-21_12-12-31,40,193,0.1333333333333333,67.0,0.6433333333333333,0.2233333333333333,,,opponent_transition_stay,
5,hm_gpt4o,2024-08-21_12-32-57,114,96,0.38,90.0,0.32,0.3,,,W_stay_L_up_T_down,
6,hm_gpt4o,2024-08-21_13-15-58,222,40,0.74,38.0,0.1333333333333333,0.1266666666666666,,,self_transition_down,
7,hm_gpt4o,2024-08-21_13-44-03,67,165,0.2233333333333333,68.0,0.55,0.2266666666666666,,,opponent_transition_stay,
8,hm_gpt4o,2024-08-21_14-26-31,118,87,0.3933333333333333,95.0,0.29,0.3166666666666666,,,W_stay_L_up_T_down,
9,hm_gpt4o,2024-08-21_15-13-00,203,63,0.6766666666666666,34.0,0.21,0.1133333333333333,,,self_transition_up,
10,hm_gpt4o,2024-08-21_18-07-20,128,88,0.4266666666666667,84.0,0.2933333333333333,0.28,,,W_up_L_down_T_stay,
11,hm_gpt4o,2024-08-21_18-08-02,123,87,0.41,90.0,0.29,0.3,,,W_stay_L_up_T_down,
12,hm_gpt4o,2024-08-22_13-48-31,203,72,0.6766666666666666,25.0,0.24,0.0833333333333333,,,opponent_transition_up,
13,hm_gpt4o,2024-08-22_14-07-00,230,38,0.7666666666666667,32.0,0.1266666666666666,0.1066666666666666,,,self_transition_up,
14,hm_gpt4o,2024-08-25_10-58-42,56,175,0.1866666666666666,69.0,0.5833333333333334,0.23,,,opponent_transition_stay,
15,hm_gpt4o,2024-08-26_10-54-35,239,35,0.7966666666666666,26.0,0.1166666666666666,0.0866666666666666,,,opponent_transition_up,
16,hm_gpt4o,2024-08-26_11-37-09,114,92,0.38,94.0,0.3066666666666666,0.3133333333333333,,,W_up_L_down_T_stay,
17,hm_gpt4o,2024-08-26_12-21-12,102,86,0.34,112.0,0.2866666666666667,0.3733333333333333,,,W_up_L_down_T_stay,
